anchor,positive,negative
01865,01337,04244
03493,01238,04432
04962,01661,03890
01390,01826,04844
01743,02705,03407
02525,04088,00072
00781,02376,04831
02408,04634,00773
03048,03497,00384
04050,00292,04765
01494,00778,03088
01678,00297,01773
01017,00875,04475
04977,00979,03181
00260,03973,02555
03867,01126,02917
00768,04815,01200
03489,04364,00846
00655,04184,03019
00736,01742,00983
04435,01017,02961
00593,01752,01857
04308,04205,00580
01268,00907,04065
04174,01051,02262
02965,03818,02301
04911,01391,03914
02088,03604,03142
04806,04925,01194
02656,03770,01977
01813,01476,01403
01804,04794,04107
01397,04918,03267
01289,02616,04679
03772,01033,03653
02823,02299,03486
04326,00695,03088
01028,02540,02873
03663,04260,00782
01574,03421,04413
00526,00317,03847
01895,04485,00061
04233,04522,04163
02591,02834,02861
01429,04038,04557
02254,02785,00471
00537,00507,03275
04535,04611,04325
00228,01908,00385
04032,01741,03083
02297,01768,01057
03134,04334,01116
02762,01871,04620
03713,01685,02596
00773,04076,03201
02955,03467,03648
01126,01756,02089
03899,02176,04582
04157,00206,02346
01193,00566,00028
02461,00487,03647
04065,04229,04238
00333,00713,04105
02422,00435,02636
02982,02732,01954
02884,02366,00179
04868,04680,04926
00717,00088,00511
03706,00353,03458
00794,02649,02318
00631,04779,03730
04637,00663,01789
04952,00637,03468
00640,00148,01545
02881,04886,02739
04665,02798,04496
04139,02341,02743
02003,03633,00232
02860,02154,01650
04314,03671,00960
00472,02072,02760
02131,01358,04154
03303,00434,04094
00668,03926,00170
01782,04072,03589
04907,04939,04849
01075,03081,03085
01286,00377,04129
02534,03256,04272
01700,01038,02415
02953,00724,04692
01172,00273,02128
00040,04807,01212
03648,04867,01482
01214,01503,04446
04418,02575,01873
03117,00209,04412
01009,04524,04548
02998,01920,01139
02762,01871,00540
00616,04210,00808
03972,00875,03595
00872,01113,01384
00503,01348,02941
02745,02457,02341
03633,01683,02529
01763,04954,01401
03033,03291,04520
01382,03194,04851
03769,01687,03283
01087,00408,02582
01724,04031,00985
02607,04787,04863
04902,02968,01868
02895,04033,04329
02925,04350,04766
03291,04833,03087
00466,03104,00147
03296,04743,01045
01617,00926,02779
04961,03488,03718
02533,01440,03446
00568,00458,00912
03972,02984,00422
03576,03138,01064
04336,00970,04443
03663,04045,00782
02262,01466,03301
02265,00326,02261
01278,01813,02908
02907,01925,04418
01709,01411,04588
04979,01249,03086
00132,03031,04562
03873,04017,02900
04346,01610,00859
00372,02059,02918
03876,00681,02071
04825,03573,04508
02983,03585,04910
01046,03843,03335
02762,03032,04620
02734,00260,00209
00821,00473,03197
02867,04278,02858
02897,04986,03259
03886,03020,02155
00645,04933,02851
02152,03640,02009
04779,01104,00062
04389,01632,03510
04309,02061,00438
03946,04111,02194
02140,00007,01173
03251,01585,04930
01740,02905,00148
01522,04265,00353
02212,00442,03312
02338,01338,03242
04349,02077,04906
02627,00555,02453
00751,01847,00666
00977,03022,03686
04249,03791,02219
04165,01104,00852
03588,01080,03799
00211,02879,01408
02331,04915,02611
03561,02705,03467
00664,03078,04736
03124,01736,01928
01899,00571,04043
04738,04861,02203
04196,02114,04582
03663,00909,02892
00466,02952,00079
00046,02894,03309
03743,01165,01430
00724,03128,03633
01193,00709,03493
03081,02602,04000
01600,02893,00867
03886,03625,02843
04981,03630,00967
02586,02886,02017
00490,04501,00074
03669,04965,02572
03706,04446,03905
03779,02806,04093
04065,04493,03692
00968,03687,01873
02128,02830,02323
00460,04765,02847
03485,00804,02340
02594,01301,04477
02662,00681,01498
03617,00921,04945
00251,02490,03083
00824,01704,00768
04792,03101,00663
04948,00813,02825
01725,02247,00732
03613,03729,03522
01135,01843,04399
01612,03606,04471
01071,00571,04767
02743,03219,02155
02564,04013,04090
03725,02407,01089
01637,00230,01209
04030,00615,02319
02934,01110,03881
00518,00555,04997
03850,01135,03990
01320,02879,04813
01160,04691,04981
04099,02544,00752
04630,00863,02869
01600,01103,02667
00546,04505,03156
00480,03176,02114
04651,01099,03496
02240,01820,04188
03264,04398,00484
00248,04409,04119
03482,00575,04163
01417,01827,04044
03142,00797,04786
03406,03973,03677
00474,04360,01678
02404,02308,01602
02739,02741,00952
00854,00023,03349
02335,04649,03256
03861,00609,03706
01852,03348,02336
04396,03082,03624
00460,04765,04088
00732,00679,02200
03289,03117,01472
00879,01712,03631
03449,00457,01793
00110,00620,04311
03684,00151,00568
02870,00738,04871
04227,03143,00171
01516,02688,01204
02549,01275,00504
00696,03705,03924
04305,03460,01212
04706,01472,02940
01271,04492,02996
01718,00469,04187
03973,02248,01287
01120,00630,00905
00571,03759,00518
01192,01643,00239
03356,01390,01176
04990,04187,03177
03607,03576,03546
03650,00414,04987
00751,02720,01278
04911,01391,03859
04391,00375,01332
01110,04051,02544
00399,04346,00632
04336,00970,01860
01853,01771,03883
02381,03609,02766
02855,00310,04521
01220,04038,04964
03338,01290,00230
02555,02157,00191
00271,00049,04052
00559,00331,02471
04867,01147,00243
01681,01157,02656
03659,04460,03080
04450,03417,01800
03201,00866,02055
02066,01785,00379
01574,04023,02574
04990,04187,02785
00062,02312,04272
02904,01270,00404
01817,01176,01924
04764,04385,02846
03199,02089,02747
03421,04658,01203
03028,02490,04208
02086,01721,01539
01908,02656,01863
01617,00926,00412
04415,02686,02240
02146,02405,03020
02725,04863,01054
01882,00570,04921
01533,00414,04569
04941,04017,00159
04355,04720,03631
03424,04809,00654
03064,00298,01630
01258,00617,00323
04449,03262,04179
00638,02224,00533
00559,00331,04517
01408,03962,04301
04170,00884,01220
01726,04979,02628
03338,02208,00300
02331,00947,03014
03591,01511,00285
04751,03093,00577
03639,00221,02213
02535,00995,00368
03342,01886,03139
04551,02492,04005
01463,01292,02006
02441,01154,03349
00675,01559,04977
02867,04278,00300
02817,02335,03302
01096,02534,00503
01025,02779,04371
00853,00068,03523
01399,01327,02866
03685,03795,03009
01816,03218,00185
04227,01312,04485
03194,02315,01549
02825,04827,03616
00521,02233,02071
04830,01157,01086
03537,03931,03040
02248,01865,02884
02790,03995,01962
04547,00262,00381
00640,04235,00069
01015,00494,04259
03099,00221,02668
03650,04158,03140
02328,03933,00151
00483,02883,01706
04915,02646,03743
03312,04092,03944
01745,03096,02234
01024,04109,02477
02075,00223,04557
01706,01819,02410
01198,01906,02422
03979,03813,01426
01482,00593,00245
01678,00614,01773
00470,00778,01320
04868,03832,01301
03093,04550,00844
02136,03471,02135
01433,00511,02131
03172,02307,03034
03584,04492,02328
01448,00373,00433
00539,01440,01454
01688,03243,01485
02777,03933,02701
02823,00616,00277
02338,03605,04521
03348,03747,00773
02936,03003,00778
01538,03981,04597
04943,01429,02191
01817,01176,02814
04417,00957,04671
01787,00264,03769
00568,01290,01093
02964,02894,03346
03591,00869,04076
02673,01167,04645
04976,04759,03937
02996,03874,04357
04988,02481,02994
04801,03167,04627
00325,03039,03522
04630,04053,03421
03739,03795,02240
03226,02990,02385
04965,02212,01289
03585,03906,00110
03830,04773,01481
00951,03770,01306
03685,03638,03677
03430,03231,04361
01397,00453,02860
04511,04114,03743
02995,01058,02212
02662,01412,01498
04808,01700,03485
04026,02601,04516
04285,03116,00682
03455,00818,00644
04771,03422,02792
00797,02457,02401
02619,04443,01975
00589,03648,02401
04170,04626,00753
04773,00319,00849
04651,04133,02289
02983,00056,01232
02381,01568,02513
03122,01818,04525
03952,04077,00413
00709,02930,03799
00080,03692,00596
04535,04818,01794
02115,03038,01466
01781,03604,02605
03932,00007,01278
01743,00329,04577
01085,03046,01843
02734,00260,02555
01439,04913,00888
02876,00890,03115
01942,03591,03564
04933,03103,04822
01508,04583,02102
00296,03875,02959
03655,01318,04571
04000,02873,04179
04699,02358,01197
04974,02159,03787
03445,00054,02020
02847,04908,00464
03771,02437,01581
02559,00675,03988
00088,02709,03387
02984,00992,04212
02531,03659,00733
03274,00554,03606
01608,02369,03548
00245,01721,04543
02732,04404,03248
03034,03110,03693
02825,00367,02442
04716,02290,04846
04939,02068,03498
00752,03266,02657
02006,02340,02175
03353,00615,00818
04050,01838,03408
04937,01483,00929
02169,01370,04205
00826,03857,04915
03255,03569,01708
04156,00260,03533
00930,04498,02255
00900,04750,04912
01192,00044,03601
02356,02049,04634
00084,04662,02536
01144,01425,02043
03712,01396,00768
02948,01400,01775
03229,04245,02208
04050,00292,00708
02511,01925,00504
02535,00995,04215
03722,01984,04959
04371,00433,01115
01070,02712,01508
01854,01337,01041
03489,01361,04270
00606,04940,04052
04923,01089,02620
04809,03669,01548
00859,01076,04030
03902,01806,03419
02328,03905,03201
03695,04038,03428
00147,00906,04751
00362,01219,01694
04966,02673,00649
01146,02958,00304
03706,01931,02332
04809,01231,01548
00372,03143,01625
02762,03032,02286
00427,04683,04861
04413,02518,00705
03927,02883,00379
03165,03759,01380
03769,00088,01520
02456,03425,04947
03950,04678,03634
01051,02141,02683
02591,01857,02861
03488,01071,00599
03584,04492,02983
02081,01481,04915
04261,04447,04704
04388,00023,04766
03338,00929,04824
00956,00632,01170
00088,01093,04799
03195,02036,00232
03973,02248,00221
02212,03666,03312
00846,00815,01729
04336,04813,02632
03489,00480,03378
02348,01020,00879
03551,03152,01945
01891,00195,02601
04631,00302,00297
00706,03304,01011
04112,01258,00791
00084,04662,02614
01345,03023,04151
02954,02734,00553
02740,04806,04873
03776,02459,01549
01027,04666,04606
01726,00041,01777
01147,01977,01233
03699,02371,01037
03356,01390,00468
01081,03585,00549
04327,01775,00940
01755,02511,03843
04998,04931,01178
00975,02374,00929
02982,04579,00510
04831,02312,01993
02311,03643,00412
02131,01946,03718
01045,02477,02288
02205,01104,00398
04279,01573,02613
03178,01514,04354
04709,02986,03017
01815,00078,04827
02430,01748,00206
04070,00713,02427
02588,04111,01579
03124,02387,04468
03164,02420,04297
00531,01557,03363
04612,01145,00947
04789,02632,02781
02381,03609,04855
01406,01429,04825
00753,01675,00717
02847,01771,04044
00362,00770,01017
01268,00666,03239
02437,01806,03509
04865,00452,04390
02175,00778,04909
03255,04984,01810
02878,01440,00623
00020,00404,01557
01993,04604,01522
01647,00638,01919
01890,03690,04259
01034,04299,04748
00934,00498,00003
00448,04301,03663
02261,03205,01958
03694,03973,02782
02717,00664,04406
03455,01469,00335
00720,00191,01645
04665,03325,01967
03818,03851,03725
03551,03152,04759
02918,03899,03006
04891,02954,04331
00132,03624,04562
03288,01235,02019
00076,02154,02179
02292,02751,03816
04908,03026,01062
03016,01058,00138
02983,03179,03268
03407,01155,03049
02032,02246,04869
01399,04913,03949
00687,02896,04676
00298,03074,02316
02725,04863,02084
04525,00293,04468
00606,04490,04735
04492,01129,03536
02941,04308,02849
03745,02884,02937
03352,01845,00511
04260,03872,04876
02783,00763,03748
01268,00666,03452
01343,02666,01990
03033,04369,02918
01449,03294,03140
00903,01375,04994
04391,01485,03986
03128,03906,03619
03393,02662,03685
02338,01338,04952
03650,00164,03722
00789,00539,01169
04983,01238,03897
00292,01864,03518
00720,00531,04377
03288,03747,04488
04689,03988,03050
03330,03417,02238
01305,02683,04118
03941,00740,00680
02663,03080,02165
02769,00911,00743
03033,04017,03199
00080,03890,02061
01579,02849,04092
01527,02850,00392
03338,01131,00157
01476,01358,00475
04704,04432,04683
04736,02934,04491
01387,00813,03843
03617,00921,00765
02704,01278,00237
02558,02781,02620
01166,03027,02632
00598,00645,03422
01085,00297,01843
00343,04172,04152
01305,01708,04951
00062,01531,01828
02422,00533,04742
00283,02643,01344
04474,01165,01108
04443,00780,00976
00084,00540,03800
01123,01556,01204
01726,02188,02623
00296,00239,03338
02580,02978,00149
02161,02175,02155
01325,03497,04601
03251,04181,02596
01482,00593,03575
02666,03564,00772
02983,03585,04694
03220,00024,00985
02996,02849,03260
03077,03171,03211
00959,00445,01857
01890,04018,02579
00884,03497,00840
02704,01278,04065
02579,00860,03462
01667,00192,02154
02741,02851,04811
03850,00904,00045
00832,02335,04827
01512,01616,03340
00824,04570,00486
00126,03946,00056
02140,04157,01173
04776,01589,01596
03499,00858,03490
04783,03859,00422
00464,00084,02365
03662,00399,03927
00464,03342,00882
02167,03292,03088
04109,04438,04522
01158,00419,02771
03424,03972,00236
01696,02081,00696
02485,01739,03544
03040,02032,00071
04474,04388,03141
00333,00713,01662
04738,00275,02203
01949,02265,02163
00056,03775,02136
03880,02704,02413
04525,04839,03426
01031,00995,01427
03101,00326,01641
01129,04977,04557
00644,03278,04210
02967,03108,00757
01872,03981,01480
01998,02589,03652
04018,03442,01481
03839,02139,04307
01746,01854,00179
03447,04765,04201
03356,01848,04472
02703,02234,03839
03062,04175,02599
04919,01958,01650
00360,04017,02189
03448,04769,04637
02908,01290,02045
04791,00918,04841
04039,03996,02814
04069,02697,01620
01312,04703,04508
00414,00231,03241
00270,03156,01662
02930,01787,01520
04109,01942,00853
00353,03650,01548
00101,02356,02452
00781,02376,03375
04255,00030,03026
04979,04824,03086
04656,02710,01087
02918,03899,02677
02982,00434,03743
02496,01307,00486
02941,01894,03924
04213,00975,01733
02586,04492,02017
02884,03218,00179
02050,03791,01770
00981,00764,01694
03794,03661,00498
00841,02616,03532
02412,00802,03543
04361,02681,04931
04032,00982,02240
02502,00852,03886
00824,01704,02216
03223,03810,02369
00996,00881,01147
00144,04693,03892
03256,01632,03597
03504,03294,03725
03973,01272,03710
04977,00735,01768
02817,02335,01257
03322,03876,03465
04689,03988,01809
03700,03647,01283
03330,03417,02613
04098,03226,03259
00555,04077,03905
02193,04443,02518
01855,02529,02900
02829,02649,00209
01126,02936,02259
03526,02507,00225
03657,00459,03986
02456,04391,03498
04505,03748,02655
00850,03260,03620
00791,01004,01631
02874,01853,02870
01582,04879,01439
01427,01927,02441
03023,00270,01231
04391,02466,03853
01993,01057,02086
02356,00022,00493
02897,04986,04088
04137,00987,03461
01182,01413,01575
02806,02526,03073
02758,03630,03140
02594,01364,01490
02259,02394,04762
03367,00221,02837
01390,01826,02760
02411,03992,01762
00809,03713,02982
04959,00815,03114
01440,00551,01643
02956,00480,00581
03767,00814,00943
04314,04918,00177
03303,03763,02412
01168,01721,02663
01787,03973,02642
00874,02779,01023
03958,03304,04129
01114,00919,00021
03463,02253,03578
00878,01235,03956
04894,00984,03852
01136,03657,01575
03154,00844,04938
04280,01262,02264
03996,00329,01405
00149,02788,03541
03295,00747,00941
00689,01359,01202
03400,02336,04004
04988,02481,02474
02254,03570,00471
01720,01193,03199
00976,00633,01046
01573,02267,01178
02099,04570,00238
04069,04070,01354
04433,00393,04525
04736,02934,02738
04349,04583,02140
01920,02040,00016
02517,02771,01975
03421,04474,04279
02331,02528,04338
00913,03868,04188
01223,03378,04973
01573,04744,04497
04303,04648,03432
02221,02562,04369
03444,01411,02148
00983,01685,02328
03571,04298,04415
00288,02295,03432
00917,02895,04453
04791,04547,03918
03763,02992,03424
04950,01820,03684
03963,03106,02823
00672,04342,03524
00841,01872,03532
00825,02433,01319
03509,00419,01603
02038,03231,02950
00334,01496,04764
03756,01604,04737
00874,01124,00399
01604,04133,03314
01779,03162,01889
03931,03767,04520
03354,03730,03151
04069,01314,04845
01051,04207,00967
01308,04662,01981
04317,01791,03635
01269,01397,04203
04923,04424,03352
03944,04995,04876
04861,02235,03169
02407,04308,01912
01204,00096,03266
01346,04716,01210
04751,02616,00577
02783,00763,02161
02265,00277,00912
01932,01636,04210
01123,00947,01870
04018,03442,00275
04954,02501,03201
04106,04595,03687
04831,01179,04127
03623,04764,01738
02965,01353,04422
04152,03039,02201
04388,00458,01400
02704,04812,04035
04915,04206,01234
04378,03631,02871
04112,02089,01095
04238,04187,04129
01781,03549,02605
04170,00884,00127
03005,00022,02017
02003,04230,02533
01242,03759,04801
01926,00576,01427
01219,02529,03531
01161,02473,04667
02537,04911,02229
02776,01999,03223
04546,00825,04825
00739,01805,03635
03614,02704,01746
04378,03631,04004
01775,02264,04003
01816,04433,01354
01503,01771,00938
03288,01647,04459
02013,04648,02703
01603,04894,02310
01756,02115,04286
02851,03830,01489
00827,04402,03032
04362,00379,00668
00240,04246,03579
03074,04301,01276
04170,00887,00929
01726,00041,01860
04864,01868,01587
01441,03396,02809
01033,02194,00661
02830,02567,02668
01781,03268,00393
04062,03832,03952
00023,01246,03676
03522,03139,03449
04207,01912,04642
03880,02087,02092
